id,question,solution,,,,
1,Please transcribe the text above:,M3!0sk+10Xm<i23SCx>98z7ap,x,M3!0SK+10XM<I23SCX>98Z7AP,,25
2,Please transcribe the text above:,A93K1#hw?09iE1cM%2Lp&=Q@c,,A93K1#HW?09IE1CM%2LP&=Q@C,,25
3,Please transcribe the text above:,8T0<3f~m8kX39M7K1mp3mw+1b,x,8T0<3F~M8KX39M7K1MP3MW+1B,,25
4,Please transcribe the text above:,$1iv7R3$2RWkH+CYY<pE8@EBA,,$1IV7R3$2RWKH+CYY<PE8@EBA,,25
5,Please transcribe the text above:,Wb&9bk%zDxu=CP61>63S?6oYB,x,WB&9BK%ZDXU=CP61>63S?6OYB,,25
6,Please transcribe the text above:,QB=Lo+P0r%kZNE>k3Z?LOk7JZ,,QB=LO+P0R%KZNE>K3Z?LOK7JZ,,25
7,Please transcribe the text above:,3cfEoa#3DL^D0yr6>oEf<6m2!,x,3CFEOA#3DL^D0YR6>OEF<6M2!,,25
8,Please transcribe the text above:,VoA^aqct#fKX6?2Rk!EI5HJ>D,,VOA^AQCT#FKX6?2RK!EI5HJ>D,,25
9,Please transcribe the text above:,Zd*Nxp>FbJ8?Vk4d#HCS<3D44,,ZD*NXP>FBJ8?VK4D#HCS<3D44,,25
10,Please transcribe the text above:,R7wcmv=Q+9FK?nVeA#ZXA>qeN,,R7WCMV=Q+9FK?NVEA#ZXA>QEN,,25
11,Please transcribe the text above:,o1!bHhO@MMu?uQn+3qNW<ZLSf,,O1!BHHO@MMU?UQN+3QNW<ZLSF,,25
12,Please transcribe the text above:,u&Vpkd#wdFo+wrb+54=44F2dZ,,U&VPKD#WDFO+WRB+54=44F2DZ,,25
13,Please transcribe the text above:,*3XY26#Oqxc?PRD>NgqVQ&cgk,,*3XY26#OQXC?PRD>NGQVQ&CGK,,25
14,Please transcribe the text above:,naCR&Ew?V36r+xEOfjU#Xj<yj,,NACR&EW?V36R+XEOFJU#XJ<YJ,,25
15,Please transcribe the text above:,1RR>HPQb?UZfz+MhWK*Xsu!pu,,1RR>HPQB?UZFZ+MHWK*XSU!PU,,25
16,Please transcribe the text above:,oC!mL=RQkX+0p4dD>DYp2&JRT,,OC!ML=RQKX+0P4DD>DYP2&JRT,,25
